*******************************************************************************
JPL/HORIZONS                Bremiker (C/1840 U1)           2023-May-07 19:53:28
Rec #:90001602                  Soln.date: -              # obs: 81 (1840-1841)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2393440.5 ! 1840-Dec-01.0000000 (TDB)    RMSW= n.a.
   EC= .965941             QR= 1.479951            TP= 2393423.5652000001
   OM= 251.2145            W= 133.5127             IN= 57.9043
   A= 43.45256760327673    MA= .05827214167711324  ADIST= 85.42518420655347
   PER= 286.43848506603    N= .00344097            ANGMOM= .029342043
   DAN= 8.68675            DDN= 1.74738            L= 41.9804286
   B= 37.9068972                                   TP= 1840-Nov-14.0652000001
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  n.a.     M2=  n.a.     k1= n.a.    k2= n.a.     PHCOF= n.a.
 
COMET comments 
1: soln ref.= SAO_2008, data arc: 1840-10-27 to 1841-02-07
2: epoch may be 2393441.0 (hour ambiguous: 12h/0h); 2008 SAO Comet Catalog
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun May  7 19:53:29 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Bremiker (C/1840 U1)            {source: DASTCOM}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1733-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 14400 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2393440.5 ! 1840-Dec-01.0000000 (TDB)    RMSW= n.a.                  
   EC= .965941             QR= 1.479951            TP= 2393423.5652000001      
   OM= 251.2145            W= 133.5127             IN= 57.9043                 
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 8.190552135151451E-01  Y= 6.745996036787253E-01  Z= 1.058106049686150E+00
  VX=-3.527454150281260E-03 VY= 1.844619245574607E-02 VZ=-5.952112785826221E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  n.a.     M2=  n.a.     k1= n.a.    k2= n.a.     PHCOF= n.a.            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2354025.500000000, A.D. 1733-Jan-01 00:00:00.0000, -4.746792037465609E+01, -4.646910938284225E+01, -4.764585116165318E+01,  3.460890382413165E-04,  2.127167914022248E-06,  5.126375248848276E-04,  4.721361265660521E-01,  8.174783620651776E+01, -5.009554701281275E-04,
2354035.500000000, A.D. 1733-Jan-11 00:00:00.0000, -4.746445776276655E+01, -4.646908668028662E+01, -4.764072350640648E+01,  3.464341532854741E-04,  2.413850841151956E-06,  5.128934405686151E-04,  4.721071794763350E-01,  8.174282417330167E+01, -5.014518850443119E-04,
2354045.500000000, A.D. 1733-Jan-21 00:00:00.0000, -4.746099167701125E+01, -4.646906108429928E+01, -4.763559329351445E+01,  3.467833066824233E-04,  2.706801983261645E-06,  5.131491707629155E-04,  4.720782035576733E-01,  8.173780714850862E+01, -5.019540994255711E-04,
2354055.500000000, A.D. 1733-Jan-31 00:00:00.0000, -4.745752209960868E+01, -4.646903251609683E+01, -4.763046052160469E+01,  3.471317165285758E-04,  3.008065195605606E-06,  5.134052930192421E-04,  4.720491984871611E-01,  8.173278507622908E+01, -5.024608361314114E-04,
2354065.500000000, A.D. 1733-Feb-10 00:00:00.0000, -4.745404905456665E+01, -4.646900090236009E+01, -4.762532518608678E+01,  3.474766161412204E-04,  3.315549519917219E-06,  5.136618834742193E-04,  4.720201640890850E-01,  8.172775792603926E+01, -5.029693453070210E-04,
2354075.500000000, A.D. 1733-Feb-20 00:00:00.0000, -4.745057258173358E+01, -4.646896619029659E+01, -4.762018728257092E+01,  3.478171892981542E-04,  3.627491677332968E-06,  5.139188842674172E-04,  4.719911003088795E-01,  8.172272568849147E+01, -5.034781175529831E-04,
2354085.500000000, A.D. 1733-Mar-02 00:00:00.0000, -4.744709272669287E+01, -4.646892834198769E+01, -4.761504680715876E+01,  3.481529893273190E-04,  3.942596331072680E-06,  5.141762583263145E-04,  4.719620071616691E-01,  8.171768836620440E+01, -5.039861359862983E-04,
2354095.500000000, A.D. 1733-Mar-12 00:00:00.0000, -4.744360953923553E+01, -4.646888733201568E+01, -4.760990375624033E+01,  3.484836019816621E-04,  4.259593940926579E-06,  5.144339808992362E-04,  4.719328847186824E-01,  8.171264597151090E+01, -5.044924241969859E-04,
2354105.500000000, A.D. 1733-Mar-22 00:00:00.0000, -4.744012307322478E+01, -4.646884314945110E+01, -4.760475812655684E+01,  3.488086668120000E-04,  4.576742483461343E-06,  5.146919928401219E-04,  4.719037331135485E-01,  8.170759852754811E+01, -5.049957480525630E-04,
2354115.500000000, A.D. 1733-Apr-01 00:00:00.0000, -4.743663338221076E+01, -4.646879580639477E+01, -4.759960991623313E+01,  3.491290089951588E-04,  4.891130673739724E-06,  5.149500347758090E-04,  4.718745525591388E-01,  8.170254607117360E+01, -5.054947798204432E-04,
