*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun May  7 13:02:19 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458119.500000000, A.D. 2018-Jan-01 00:00:00.0000, -1.752200593182891E-01,  9.675633322693306E-01, -3.799697171828270E-05, -1.720124877935107E-02, -3.130282122020556E-03, -2.538624422752495E-07,  5.679072997757469E-03,  9.833010081269141E-01, -1.499272317523316E-05,
2458120.500000000, A.D. 2018-Jan-02 00:00:00.0000, -1.923931406313235E-01,  9.642835957015056E-01, -3.830693472767109E-05, -1.714410783677150E-02, -3.429024083207632E-03, -3.604801266936620E-07,  5.679005751625863E-03,  9.832893648201582E-01, -8.281294547064156E-06,
2458121.500000000, A.D. 2018-Jan-03 00:00:00.0000, -2.095066633878702E-01,  9.607056082897487E-01, -3.870523537916518E-05, -1.708213018235346E-02, -3.726793131247214E-03, -4.291581873115418E-07,  5.678977365080306E-03,  9.832844498421552E-01, -1.556973114324861E-06,
2458122.500000000, A.D. 2018-Jan-04 00:00:00.0000, -2.265557774400181E-01,  9.568303180929855E-01, -3.915060116724175E-05, -1.701528040918526E-02, -4.023635032645464E-03, -4.540621797500267E-07,  5.678987556366594E-03,  9.832862144086757E-01,  5.058660429235833E-06,
2458123.500000000, A.D. 2018-Jan-05 00:00:00.0000, -2.435355744801799E-01,  9.526586428130345E-01, -3.959847046472134E-05, -1.694348078708922E-02, -4.319561579912553E-03, -4.344504554542614E-07,  5.679035391160085E-03,  9.832944967464238E-01,  1.146418712981422E-05,
2458124.500000000, A.D. 2018-Jan-06 00:00:00.0000, -2.604410563851644E-01,  9.481915109180552E-01, -4.000586859212088E-05, -1.686663336405451E-02, -4.614538661006875E-03, -3.740368615350264E-07,  5.679119440855022E-03,  9.833090494999802E-01,  1.759105217041753E-05,
2458125.500000000, A.D. 2018-Jan-07 00:00:00.0000, -2.772671263035693E-01,  9.434299077290985E-01, -4.033515057536230E-05, -1.678464180716428E-02, -4.908487892334266E-03, -2.794848529528226E-07,  5.679237982390812E-03,  9.833295743306509E-01,  2.340530827785223E-05,
2458126.500000000, A.D. 2018-Jan-08 00:00:00.0000, -2.940085983577405E-01,  9.383749149273466E-01, -4.055612231103823E-05, -1.669742609724063E-02, -5.201297048292576E-03, -1.587862145049072E-07,  5.679389182356068E-03,  9.833557537930955E-01,  2.890121317580012E-05,
2458127.500000000, A.D. 2018-Jan-09 00:00:00.0000, -3.106602176579599E-01,  9.330277379944916E-01, -4.064671475618637E-05, -1.660492861791793E-02, -5.492832782004744E-03, -2.004227410281686E-08,  5.679571232849888E-03,  9.833872748589765E-01,  3.409175055763783E-05,
2458128.500000000, A.D. 2018-Jan-10 00:00:00.0000, -3.272166829807886E-01,  9.273897217727681E-01, -4.059271367116645E-05, -1.650711393107917E-02, -5.782951175612503E-03,  1.292087183453726E-07,  5.679782433810062E-03,  9.834238431716462E-01,  3.900005003771732E-05,
