*******************************************************************************
JPL/HORIZONS                Hale-Bopp (C/1995 O1)          2023-May-07 18:46:05
Rec #:90002164 (+COV) Soln.date: 2022-Aug-01_01:56:46     # obs: 66 (1993-2022)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459837.5 ! 2022-Sep-15.0000000 (TDB)    RMSW= n.a.
   EC= .9949810027633206   QR= .890537663547794    TP= 2450537.1349071441
   OM= 282.7334213961641   W= 130.4146670659176    IN= 89.28759424740302
   A= 177.4333839117583    MA= 3.878386339423163   ADIST= 353.9762301599687
   PER= 2363.5304681429    N= .000417014           ANGMOM= .02292857
   DAN= 5.00538            DDN= 1.07996            L= 101.8968625
   B= 49.580132            MOID= .0878151          TP= 1997-Mar-29.6349071441
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= 30.
   M1=  4.8      M2=  n.a.     k1=  4.     k2= n.a.     PHCOF= n.a.
 
COMET comments 
1: soln ref.= JPL#226, data arc: 1993-04-27 to 2022-07-09
2: k1=4.;
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun May  7 18:46:05 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Hale-Bopp (C/1995 O1)           {source: JPL#226}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1600-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 14400 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459837.5 ! 2022-Sep-15.0000000 (TDB)    RMSW= n.a.                  
   EC= .9949810027633206   QR= .890537663547794    TP= 2450537.1349071441      
   OM= 282.7334213961641   W= 130.4146670659176    IN= 89.28759424740302       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 3.907631452214869E+00  Y=-1.373895334060347E+00  Z=-4.624358508575312E+01
  VX= 3.778244409519935E-04 VY=-5.803173067116371E-04 VZ=-3.255716412104052E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= 30.                                            
   M1=  4.8      M2=  n.a.     k1=  4.     k2= n.a.     PHCOF= n.a.            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2305447.500000000, A.D. 1600-Jan-01 00:00:00.0000,  3.744759392926640E+01, -1.849524309629605E+02, -1.873154481608557E+02, -1.373026442540157E-04,  6.607480711040614E-04,  7.986140278260873E-04,  1.535645064688643E+00,  2.658887006435251E+02, -1.041568744861049E-03,
2305457.500000000, A.D. 1600-Jan-11 00:00:00.0000,  3.744622132873910E+01, -1.849458237335563E+02, -1.873074618832059E+02, -1.372168147421456E-04,  6.606982261634008E-04,  7.986414799595852E-04,  1.535584909501061E+00,  2.658782850956678E+02, -1.041541009481778E-03,
2305467.500000000, A.D. 1600-Jan-21 00:00:00.0000,  3.744484960572549E+01, -1.849392169922188E+02, -1.872994753320583E+02, -1.371270231822464E-04,  6.606502197169801E-04,  7.986686768857888E-04,  1.535524755893446E+00,  2.658678698213733E+02, -1.041513814478731E-03,
2305477.500000000, A.D. 1600-Jan-31 00:00:00.0000,  3.744347881083385E+01, -1.849326107237089E+02, -1.872914885118354E+02, -1.370305109249855E-04,  6.606041827150510E-04,  7.986952554583646E-04,  1.535464603863775E+00,  2.658574548202913E+02, -1.041486606595462E-03,
2305487.500000000, A.D. 1600-Feb-10 00:00:00.0000,  3.744210902039708E+01, -1.849260048824106E+02, -1.872835014280050E+02, -1.369268145965908E-04,  6.605657381260811E-04,  7.987215235852973E-04,  1.535404453313161E+00,  2.658470400753001E+02, -1.041463448900319E-03,
2305497.500000000, A.D. 1600-Feb-20 00:00:00.0000,  3.744074028078806E+01, -1.849193993766670E+02, -1.872755140804793E+02, -1.368210985756051E-04,  6.605368780163947E-04,  7.987480362682468E-04,  1.535344303910773E+00,  2.658366255291180E+02, -1.041446845510820E-03,
2305507.500000000, A.D. 1600-Mar-01 00:00:00.0000,  3.743937259542587E+01, -1.849127941184333E+02, -1.872675264662182E+02, -1.367162404046427E-04,  6.605159687243672E-04,  7.987748664533688E-04,  1.535284155293332E+00,  2.658262111188454E+02, -1.041436116776904E-03,
2305517.500000000, A.D. 1600-Mar-11 00:00:00.0000,  3.743800594878952E+01, -1.849061890351871E+02, -1.872595385821651E+02, -1.366135353137243E-04,  6.605016982744921E-04,  7.988019933112735E-04,  1.535224007144446E+00,  2.658157967897005E+02, -1.041430517885891E-03,
2305527.500000000, A.D. 1600-Mar-21 00:00:00.0000,  3.743664031399651E+01, -1.848995840658699E+02, -1.872515504253484E+02, -1.365140476052029E-04,  6.604930010819428E-04,  7.988294216415145E-04,  1.535163859184878E+00,  2.658053824933348E+02, -1.041429460937167E-03,
2305537.500000000, A.D. 1600-Mar-31 00:00:00.0000,  3.743527565356513E+01, -1.848929791606983E+02, -1.872435619926754E+02, -1.364188413269103E-04,  6.604886228344153E-04,  7.988571659932946E-04,  1.535103711171570E+00,  2.657949681876648E+02, -1.041432233568594E-03,
