*******************************************************************************
JPL/HORIZONS                Hyakutake (C/1996 B2)          2023-May-07 13:06:46
Rec #:90002170 (+COV) Soln.date: 2021-Apr-15_23:29:47     # obs: 977 (306 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2450157.5 ! 1996-Mar-15.0000000 (TDB)    RMSW= n.a.
   EC= .9998916470450124   QR= .2302235310262354   TP= 2450204.8941449965
   OM= 188.045131992156    W= 130.1751209780967    IN= 124.9220493922234
   A= 2124.755444396066    MA= 359.9995230582502   ADIST= 4249.280665261106
   PER= 97942.599927659    N= 1.0063E-5            ANGMOM= .011672383
   DAN= 1.29717            DDN= .27988             L= 42.1829369
   B= 38.7916531           MOID= .100967           TP= 1996-May-01.3941449965
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= 2.1
   M1=  7.4      M2=  11.1     k1=  10.75  k2=  5.      PHCOF=  .030
 
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au):
   AMRAT=  0.                                      DT=  0.
   A1= 2.68769288063E-8    A2= 6.515068560839E-10  A3= 0.
 Standard model:
   ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808
 
COMET comments 
1: soln ref.= JPL#73, data arc: 1996-01-01 to 1996-11-02
2: k1=10.75, k2=5., phase coef.=0.03;
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun May  7 13:06:46 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Hyakutake (C/1996 B2)           {source: JPL#73}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2450157.5 ! 1996-Mar-15.0000000 (TDB)    RMSW= n.a.                  
   EC= .9998916470450124   QR= .2302235310262354   TP= 2450204.8941449965      
   OM= 188.045131992156    W= 130.1751209780967    IN= 124.9220493922234       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.240285391360600E+00  Y=-1.564973163108159E-01  Z=-4.884795195430214E-02
  VX= 1.888373210719748E-02 VY= 4.286414805072232E-03 VZ= 9.896728916548962E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= 2.1                                            
   M1=  7.4      M2=  11.1     k1=  10.75  k2=  5.      PHCOF=  .030           
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au): 
   AMRAT=  0.                                      DT=  0.                     
   A1= 2.68769288063E-8    A2= 6.515068560839E-10  A3= 0.                      
 Standard model:                                                               
   ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458119.500000000, A.D. 2018-Jan-01 00:00:00.0000, -1.972943852525355E+01, -2.411831203989395E+01, -3.017536950313079E+01, -1.897442562564382E-03, -1.994552267454352E-03, -2.431593204485130E-03,  2.505201659640861E-01,  4.337622211334141E+01,  3.663641646131699E-03,
2458120.500000000, A.D. 2018-Jan-02 00:00:00.0000, -1.973133592807919E+01, -2.412030654476487E+01, -3.017780104164512E+01, -1.897363097152010E-03, -1.994457471827292E-03, -2.431483826496528E-03,  2.505413249218301E-01,  4.337988567330778E+01,  3.663478290543183E-03,
2458121.500000000, A.D. 2018-Jan-03 00:00:00.0000, -1.973323325146481E+01, -2.412230095483294E+01, -3.018023247078848E+01, -1.897283682601264E-03, -1.994362662198967E-03, -2.431374462588505E-03,  2.505624829361812E-01,  4.338354906993071E+01,  3.663314959592067E-03,
2458122.500000000, A.D. 2018-Jan-04 00:00:00.0000, -1.973513049546153E+01, -2.412429527008543E+01, -3.018266379057501E+01, -1.897204319431395E-03, -1.994267841075937E-03, -2.431265112867956E-03,  2.505836400072867E-01,  4.338721230323573E+01,  3.663151654983801E-03,
2458123.500000000, A.D. 2018-Jan-05 00:00:00.0000, -1.973702766012091E+01, -2.412628949051205E+01, -3.018509500101898E+01, -1.897125007959274E-03, -1.994173010830982E-03, -2.431155777449312E-03,  2.506047961353033E-01,  4.339087537324998E+01,  3.662988378262638E-03,
2458124.500000000, A.D. 2018-Jan-06 00:00:00.0000, -1.973892474549473E+01, -2.412828361610480E+01, -3.018752610213472E+01, -1.897045748333385E-03, -1.994078173701533E-03, -2.431046456451329E-03,  2.506259513203961E-01,  4.339453828000202E+01,  3.662825130823988E-03,
2458125.500000000, A.D. 2018-Jan-07 00:00:00.0000, -1.974082175163486E+01, -2.413027764685786E+01, -3.018995709393673E+01, -1.896966540563332E-03, -1.993983331791600E-03, -2.430937149994578E-03,  2.506471055627379E-01,  4.339820102352180E+01,  3.662661913927145E-03,
2458126.500000000, A.D. 2018-Jan-08 00:00:00.0000, -1.974271867859311E+01, -2.413227158276745E+01, -3.019238797643960E+01, -1.896887384545069E-03, -1.993888487076359E-03, -2.430827858199550E-03,  2.506682588625085E-01,  4.340186360384044E+01,  3.662498728708010E-03,
2458127.500000000, A.D. 2018-Jan-09 00:00:00.0000, -1.974461552642114E+01, -2.413426542383170E+01, -3.019481874965805E+01, -1.896808280082030E-03, -1.993793641408349E-03, -2.430718581185256E-03,  2.506894112198939E-01,  4.340552602099011E+01,  3.662335576191170E-03,
2458128.500000000, A.D. 2018-Jan-10 00:00:00.0000, -1.974651229517037E+01, -2.413625917005053E+01, -3.019724941360693E+01, -1.896729226903067E-03, -1.993698796524708E-03, -2.430609319068213E-03,  2.507105626350856E-01,  4.340918827500403E+01,  3.662172457301357E-03,
2458129.500000000, A.D. 2018-Jan-11 00:00:00.0000, -1.974840898489192E+01, -2.413825282142555E+01, -3.019967996830118E+01, -1.896650224677264E-03, -1.993603954054812E-03, -2.430500071961752E-03,  2.507317131082802E-01,  4.341285036591621E+01,  3.662009372873971E-03,
2458130.500000000, A.D. 2018-Jan-12 00:00:00.0000, -1.975030559563658E+01, -2.414024637795996E+01, -3.020211041375589E+01, -1.896571273026310E-03, -1.993509115528085E-03, -2.430390839975555E-03,  2.507528626396792E-01,  4.341651229376151E+01,  3.661846323664722E-03,
