*******************************************************************************
JPL/HORIZONS                  NEAT (P/2003 F2)             2023-May-07 20:49:57
Rec #:90002948 (+COV) Soln.date: 2021-Apr-15_23:30:27       # obs: 74 (62 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2452735.5 ! 2003-Apr-06.0000000 (TDB)    RMSW= n.a.
   EC= .5422493948647836   QR= 2.977206553025519   TP= 2452744.2824124238
   OM= 359.0285748278428   W= 191.592692448005     IN= 11.60453303072527
   A= 6.503992610006649    MA= 359.4781474103003   ADIST= 10.03077866698778
   PER= 16.587397834369    N= .059420187           ANGMOM= .03686067
   DAN= 9.79411            DDN= 2.99871            L= 190.3905301
   B= -2.316686            MOID= 1.97932005        TP= 2003-Apr-14.7824124238
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  13.7     M2=  16.2     k1=  10.    k2=  5.      PHCOF=  .030
 
COMET comments 
1: soln ref.= JPL#8, data arc: 2003-03-27 to 2003-05-28
2: k1=10., k2=5., phase coef.=0.03;
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun May  7 20:49:57 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: NEAT (P/2003 F2)                {source: JPL#8}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2006-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 14400 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2452735.5 ! 2003-Apr-06.0000000 (TDB)    RMSW= n.a.                  
   EC= .5422493948647836   QR= 2.977206553025519   TP= 2452744.2824124238      
   OM= 359.0285748278428   W= 191.592692448005     IN= 11.60453303072527       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-2.944801229862287E+00  Y=-3.566639498365185E-01  Z=-2.623968545438905E-01
  VX= 1.997182156312349E-03 VY=-1.000624899272474E-02 VZ=-7.009121194568620E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  13.7     M2=  16.2     k1=  10.    k2=  5.      PHCOF=  .030           
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453736.500000000, A.D. 2006-Jan-01 00:00:00.0000,  4.480275549492553E+00, -4.622778999331542E+00, -9.335879083785266E-01,  6.630212065446972E-03,  1.222979392608198E-03,  2.740272105540608E-04,  3.756953190973548E-02,  6.504962802254301E+00,  3.658097023002461E-03,
2453746.500000000, A.D. 2006-Jan-11 00:00:00.0000,  4.546337286378715E+00, -4.610302159384378E+00, -9.307977738032057E-01,  6.582153107201159E-03,  1.272229196469765E-03,  2.839669413930993E-04,  3.778021367277449E-02,  6.541441218726852E+00,  3.637579318025961E-03,
2453756.500000000, A.D. 2006-Jan-21 00:00:00.0000,  4.611918976856068E+00, -4.597337564661918E+00, -9.279092171801087E-01,  6.534203678594475E-03,  1.320534197948478E-03,  2.937123804575232E-04,  3.798970927075118E-02,  6.577714257085397E+00,  3.617022131912902E-03,
2453766.500000000, A.D. 2006-Jan-31 00:00:00.0000,  4.677021741267285E+00, -4.583894549180892E+00, -9.249241587802055E-01,  6.486368611424274E-03,  1.367917026939484E-03,  3.032680392153599E-04,  3.819801654488824E-02,  6.613781543549229E+00,  3.596429594976409E-03,
2453776.500000000, A.D. 2006-Feb-10 00:00:00.0000,  4.741646743423456E+00, -4.569982227148605E+00, -9.218444744263470E-01,  6.438651854387950E-03,  1.414398863111046E-03,  3.126382777317583E-04,  3.840513356898399E-02,  6.649642744606870E+00,  3.575805795182446E-03,
2453786.500000000, A.D. 2006-Feb-20 00:00:00.0000,  4.805795187901872E+00, -4.555609511735183E+00, -9.186719978502460E-01,  6.391058130939392E-03,  1.459998783742493E-03,  3.218271127519152E-04,  3.861105868896069E-02,  6.685297573863637E+00,  3.555156407878573E-03,
2453796.500000000, A.D. 2006-Mar-02 00:00:00.0000,  4.869468342091785E+00, -4.540785121945614E+00, -9.154085242198085E-01,  6.343594963694313E-03,  1.504737825493135E-03,  3.308383758116073E-04,  3.881579061880555E-02,  6.720745808653311E+00,  3.534487410666882E-03,
2453806.500000000, A.D. 2006-Mar-12 00:00:00.0000,  4.932667530530805E+00, -4.525517541899834E+00, -9.120558071254523E-01,  6.296264700609038E-03,  1.548640525916098E-03,  3.396765807723669E-04,  3.901932823580706E-02,  6.755987254584429E+00,  3.513798308610554E-03,
2453816.500000000, A.D. 2006-Mar-22 00:00:00.0000,  4.995394075016423E+00, -4.509815037041588E+00, -9.086155551557223E-01,  6.249066232173374E-03,  1.591725499501257E-03,  3.483460035353026E-04,  3.922167037291679E-02,  6.791021709588811E+00,  3.493089737470239E-03,
2453826.500000000, A.D. 2006-Apr-01 00:00:00.0000,  5.057649299477845E+00, -4.493685703987232E+00, -9.050894371054746E-01,  6.202001072684732E-03,  1.634008858439990E-03,  3.568504079944905E-04,  3.942281601065820E-02,  6.825848997149575E+00,  3.472365504754005E-03,
