*******************************************************************************
JPL/HORIZONS                  SOHO (P/2003 T12)            2023-May-07 12:44:47
Rec #:90003052 (+COV) Soln.date: 2021-Apr-15_23:30:34    # obs: 491 (2003-2016)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456072.5 ! 2012-May-25.0000000 (TDB)    RMSW= n.a.
   EC= .7761661415724617   QR= .5748057240982886   TP= 2455952.9465753618
   OM= 176.4657154122657   W= 217.6688333732714    IN= 11.47515433388246
   A= 2.568001678282154    MA= 28.63341449777914   ADIST= 4.56119763246602
   PER= 4.1152967488203    N= .239503089           ANGMOM= .017381361
   DAN= 2.64755            DDN= .63241             L= 33.5764076
   B= -6.982915            MOID= .154717           TP= 2012-Jan-26.4465753618
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  19.6     M2=  n.a.     k1=  21.75  k2= n.a.     PHCOF= n.a.
 
COMET comments 
1: soln ref.= JPL#9, data arc: 2003-10-09 to 2016-05-05
2: k1=21.75;
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun May  7 12:44:47 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: SOHO (P/2003 T12)               {source: JPL#9}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456072.5 ! 2012-May-25.0000000 (TDB)    RMSW= n.a.                  
   EC= .7761661415724617   QR= .5748057240982886   TP= 2455952.9465753618      
   OM= 176.4657154122657   W= 217.6688333732714    IN= 11.47515433388246       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.800299780854964E+00  Y= 6.044070098920303E-01  Z= 1.508821392948227E-01
  VX=-1.299099917758720E-02 VY=-5.082113664765213E-03 VZ=-9.159973403923183E-04
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  19.6     M2=  n.a.     k1=  21.75  k2= n.a.     PHCOF= n.a.            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458119.500000000, A.D. 2018-Jan-01 00:00:00.0000, -3.927002269372148E+00, -2.201007685832227E+00,  4.933395096611544E-01,  1.009582793243820E-03, -3.802625356558396E-03,  7.408096164504925E-04,  2.615561654622017E-02,  4.528704619263575E+00,  1.053379447309963E-03,
2458120.500000000, A.D. 2018-Jan-02 00:00:00.0000, -3.925986451518445E+00, -2.204806880588558E+00,  4.940795067353320E-01,  1.022051020305227E-03, -3.795762927743646E-03,  7.391843223829170E-04,  2.616166850239297E-02,  4.529752482992075E+00,  1.042348694506128E-03,
2458121.500000000, A.D. 2018-Jan-03 00:00:00.0000, -3.924958171108951E+00, -2.208599209227715E+00,  4.948178778865235E-01,  1.034507915122661E-03, -3.788893118923969E-03,  7.375577701232675E-04,  2.616765676207041E-02,  4.530789318014283E+00,  1.031322026786551E-03,
2458122.500000000, A.D. 2018-Jan-04 00:00:00.0000, -3.923917439445030E+00, -2.212384664359801E+00,  4.955546218554638E-01,  1.046953539442264E-03, -3.782015910282168E-03,  7.359299575176004E-04,  2.617358134870830E-02,  4.531815128391447E+00,  1.020299396462316E-03,
2458123.500000000, A.D. 2018-Jan-05 00:00:00.0000, -3.922864267766349E+00, -2.216163238574993E+00,  4.962897373807096E-01,  1.059387954908623E-03, -3.775131281773757E-03,  7.343008823631582E-04,  2.617944228548677E-02,  4.532829918137081E+00,  1.009280755761299E-03,
2458124.500000000, A.D. 2018-Jan-06 00:00:00.0000, -3.921798667250991E+00, -2.219934924443305E+00,  4.970232231985918E-01,  1.071811223033418E-03, -3.768239213125793E-03,  7.326705424113536E-04,  2.618523959530987E-02,  4.533833691216901E+00,  9.982660568554629E-04,
2458125.500000000, A.D. 2018-Jan-07 00:00:00.0000, -3.920720649015609E+00, -2.223699714514368E+00,  4.977550780431696E-01,  1.084223405168727E-03, -3.761339683839222E-03,  7.310389353700375E-04,  2.619097330080531E-02,  4.534826451548772E+00,  9.872552518856530E-04,
2458126.500000000, A.D. 2018-Jan-08 00:00:00.0000, -3.919630224115591E+00, -2.227457601317200E+00,  4.984853006461910E-01,  1.096624562484666E-03, -3.754432673193909E-03,  7.294060589051584E-04,  2.619664342432436E-02,  4.535808203002695E+00,  9.762482929838414E-04,
2458127.500000000, A.D. 2018-Jan-09 00:00:00.0000, -3.918527403545255E+00, -2.231208577359994E+00,  4.992138897370479E-01,  1.109014755950940E-03, -3.747518160255250E-03,  7.277719106419324E-04,  2.620224998794184E-02,  4.536778949400810E+00,  9.652451322926659E-04,
2458128.500000000, A.D. 2018-Jan-10 00:00:00.0000, -3.917412198238052E+00, -2.234952635129901E+00,  4.999408440427376E-01,  1.121394046321735E-03, -3.740596123881718E-03,  7.261364881656346E-04,  2.620779301345626E-02,  4.537738694517407E+00,  9.542457219824803E-04,
