*******************************************************************************
JPL/HORIZONS                  109P/Swift-Tuttle            2023-May-07 13:16:48
Rec #:90000974 (+COV) Soln.date: 2001-Oct-09_15:34:49    # obs: 652 (1737-1995)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2450000.5 ! 1995-Oct-10.0000000 (TDB)    RMSW= n.a.
   EC= .9632257550460384   QR= .9595161550688684   TP= 2448968.4997845562
   OM= 139.3811920815948   W= 152.9821676305871    IN= 113.4538169971712
   A= 26.09206949782666    MA= 7.631696167124793   ADIST= 51.22462284058444
   PER= 133.2818438405     N= .007395053           ANGMOM= .023609822
   DAN= 13.27557           DDN= 1.0138             L= 330.8536722
   B= 24.6287339           MOID= .00089214         TP= 1992-Dec-11.9997845562
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= 13.
   M1=  4.5      M2=  8.5      k1=  15.    k2=  10.     PHCOF= n.a.
 
COMET comments 
1: soln ref.= JPL#32, data arc: 1737-07-08 to 1995-03-29
2: k1=15.0, k2=10.0;
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun May  7 13:16:48 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 109P/Swift-Tuttle               {source: JPL#32}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1600-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 14400 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2450000.5 ! 1995-Oct-10.0000000 (TDB)    RMSW= n.a.                  
   EC= .9632257550460384   QR= .9595161550688684   TP= 2448968.4997845562      
   OM= 139.3811920815948   W= 152.9821676305871    IN= 113.4538169971712       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-5.961434623156935E+00  Y= 3.700438936751722E+00  Z=-6.922297729421842E+00
  VX=-5.226325508711362E-03 VY= 3.593351825095821E-03 VZ=-2.911438559166090E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= 13.                                            
   M1=  4.5      M2=  8.5      k1=  15.    k2=  10.     PHCOF= n.a.            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2305447.500000000, A.D. 1600-Jan-01 00:00:00.0000, -1.783457822399723E+01,  1.334937053911506E+01, -3.290187887500395E+00,  3.066556913525754E-03, -1.773814194140617E-03,  1.498698405807441E-03,  1.300586215394720E-01,  2.251895225256991E+01, -3.699153073608775E-03,
2305457.500000000, A.D. 1600-Jan-11 00:00:00.0000, -1.780388903202907E+01,  1.333161464772526E+01, -3.275196635891148E+00,  3.071284609471925E-03, -1.777365760553865E-03,  1.499551945074676E-03,  1.298448181415643E-01,  2.248193334177468E+01, -3.704632159533847E-03,
2305467.500000000, A.D. 1600-Jan-21 00:00:00.0000, -1.777315246924255E+01,  1.331382318812060E+01, -3.260196848388226E+00,  3.076031210886582E-03, -1.780928089029558E-03,  1.500405532859287E-03,  1.296306977583183E-01,  2.244485954666949E+01, -3.710130179951237E-03,
2305477.500000000, A.D. 1600-Jan-31 00:00:00.0000, -1.774236833513301E+01,  1.329599604911703E+01, -3.245188526412622E+00,  3.080799568998263E-03, -1.784501132277753E-03,  1.501258798874606E-03,  1.294162592337818E-01,  2.240773066710742E+01, -3.715649290438734E-03,
2305487.500000000, A.D. 1600-Feb-10 00:00:00.0000, -1.771153640254121E+01,  1.327813314906692E+01, -3.230171672502279E+00,  3.085590240594111E-03, -1.788079351746943E-03,  1.502112043745191E-03,  1.292015013934732E-01,  2.237054649973327E+01, -3.721186666442165E-03,
2305497.500000000, A.D. 1600-Feb-20 00:00:00.0000, -1.768065647332950E+01,  1.326023445151551E+01, -3.215146283713693E+00,  3.090398155556513E-03, -1.791660840550499E-03,  1.502965815045281E-03,  1.289864233473638E-01,  2.233330689044337E+01, -3.726737214537243E-03,
2305507.500000000, A.D. 1600-Mar-01 00:00:00.0000, -1.764972839136720E+01,  1.324229991554046E+01, -3.200112354225653E+00,  3.095220531466192E-03, -1.795247318307459E-03,  1.503820178149188E-03,  1.287710243813367E-01,  2.229601171559218E+01, -3.732299735732242E-03,
2305517.500000000, A.D. 1600-Mar-11 00:00:00.0000, -1.761875201850807E+01,  1.322432948383316E+01, -3.185069878276902E+00,  3.100056169090326E-03, -1.798840183742245E-03,  1.504675104509963E-03,  1.285553038088498E-01,  2.225866085630868E+01, -3.737874082105968E-03,
2305527.500000000, A.D. 1600-Mar-21 00:00:00.0000, -1.758772722700299E+01,  1.320632308675004E+01, -3.170018850269431E+00,  3.104904101006935E-03, -1.802440589991808E-03,  1.505530591061328E-03,  1.283392609501391E-01,  2.222125419489532E+01, -3.743460148304678E-03,
2305537.500000000, A.D. 1600-Mar-31 00:00:00.0000, -1.755665389872882E+01,  1.318828064249246E+01, -3.154959264563175E+00,  3.109763360940937E-03, -1.806049879733346E-03,  1.506386644335510E-03,  1.281228951290712E-01,  2.218379161428325E+01, -3.749057945047710E-03,
