*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Mar  5 17:35:07 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2015-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457023.500000000, A.D. 2015-Jan-01 00:00:00.0000, -2.560594429645830E+07,  1.448555196618039E+08, -4.452540457293391E+03, -2.980922205522426E+01, -5.305384303317443E+00,  1.167150787311888E-03,  4.906770468767337E+02,  1.471012779673572E+08, -3.549205054317429E-02,
2457024.500000000, A.D. 2015-Jan-02 00:00:00.0000, -2.817727198952908E+07,  1.443747170563262E+08, -4.357901277281344E+03, -2.971080336459479E+01, -5.823969738748774E+00,  1.016918010599444E-03,  4.906683349930301E+02,  1.470986662103279E+08, -2.491253164216872E-02,
2457025.500000000, A.D. 2015-Jan-03 00:00:00.0000, -3.073972181211205E+07,  1.438491961539631E+08, -4.277803968802094E+03, -2.960372719784131E+01, -6.340525248010096E+00,  8.324452775521074E-04,  4.906627129451820E+02,  1.470969807627845E+08, -1.406640032426668E-02,
2457026.500000000, A.D. 2015-Jan-04 00:00:00.0000, -3.329254828128595E+07,  1.432791336039460E+08, -4.214701931126416E+03, -2.948804704153164E+01, -6.855021162392078E+00,  6.255054825698991E-04,  4.906602430807965E+02,  1.470962403160695E+08, -3.054230132475717E-03,
2457027.500000000, A.D. 2015-Jan-05 00:00:00.0000, -3.583500930869177E+07,  1.426647088278856E+08, -4.170019528388977E+03, -2.936378859475564E+01, -7.367421850453407E+00,  4.080314392798101E-04,  4.906609589729888E+02,  1.470964549351495E+08,  8.025637486707005E-03,
2457028.500000000, A.D. 2015-Jan-06 00:00:00.0000, -3.836636398043298E+07,  1.420061048066846E+08, -4.144166771084070E+03, -2.923095421046857E+01, -7.877679680116479E+00,  1.914722643241440E-04,  4.906648666963817E+02,  1.470976264411506E+08,  1.908135243586919E-02,
2457029.500000000, A.D. 2015-Jan-07 00:00:00.0000, -4.088587078052293E+07,  1.413035093142408E+08, -4.136604452259839E+03, -2.908952862436003E+01, -8.385730817624641E+00, -1.371971679997586E-05,  4.906719471902662E+02,  1.470997491198161E+08,  3.003074981536987E-02,
2457030.500000000, A.D. 2015-Jan-08 00:00:00.0000, -4.339278633768669E+07,  1.405571164168483E+08, -4.145945797905326E+03, -2.893948517958610E+01, -8.891493320309547E+00, -1.984137989921031E-04,  4.906821593288153E+02,  1.471028106419332E+08,  4.080300148224099E-02,
2457031.500000000, A.D. 2015-Jan-09 00:00:00.0000, -4.588636469468091E+07,  1.397671280368557E+08, -4.170077095016837E+03, -2.878079152584752E+01, -9.394867508488513E+00, -3.549156714295343E-04,  4.906954432178975E+02,  1.471067930516929E+08,  5.133853802239823E-02,
2457032.500000000, A.D. 2015-Jan-10 00:00:00.0000, -4.836585701316377E+07,  1.389337554033124E+08, -4.206279922030866E+03, -2.861341387314080E+01, -9.895738083678873E+00, -4.768977754325832E-04,  4.907117232398179E+02,  1.471116736794808E+08,  6.158744152028298E-02,
