*******************************************************************************
JPL/HORIZONS                    19P/Borrelly               2023-Mar-05 17:02:12
Rec #:90000304 (+COV) Soln.date: 2023-Jan-30_10:23:18   # obs: 2397 (2014-2023)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459258.5 ! 2021-Feb-13.0000000 (TDB)    RMSW= n.a.
   EC= .6379442568804596   QR= 1.30591704167545    TP= 2459612.2538623288
   OM= 74.30948049255568   W= 351.8569119860381    IN= 29.32284352756474
   A= 3.606950218282476    MA= 309.1026651873833   ADIST= 5.907983394889501
   PER= 6.8504393371206    N= .143877821           ANGMOM= .025158735
   DAN= 1.31107            DDN= 5.80486            L= 67.1982813
   B= -3.9776979           MOID= .32295701         TP= 2022-Feb-01.7538623288
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= 2.4
   M1=  9.7      M2=  13.2     k1=  15.5   k2=  5.      PHCOF=  .030
 
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au):
   AMRAT=  0.                                      DT=  0.
   A1= 3.59207957983E-9    A2= -1.110071316361E-10 A3= 0.
 Standard model:
   ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808
 
COMET comments 
1: soln ref.= JPL#K222/7, data arc: 2014-07-29 to 2023-01-21
2: k1=15.5, k2=5., phase coef.=0.03;
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Mar  5 17:02:12 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 19P/Borrelly                    {source: JPL#K222/7}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2016-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
EOP file        : eop.230303.p230526
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAR-03. PREDICTS-> 2023-MAY-25
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459258.5 ! 2021-Feb-13.0000000 (TDB)    RMSW= n.a.                  
   EC= .6379442568804596   QR= 1.30591704167545    TP= 2459612.2538623288      
   OM= 74.30948049255568   W= 351.8569119860381    IN= 29.32284352756474       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.372735514442866E+00  Y=-2.269350909470443E+00  Z=-2.288422419893239E+00
  VX= 3.344858460111687E-03 VY= 8.165524495793533E-03 VZ= 3.007160634402817E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= 2.4                                            
   M1=  9.7      M2=  13.2     k1=  15.5   k2=  5.      PHCOF=  .030           
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au): 
   AMRAT=  0.                                      DT=  0.                     
   A1= 3.59207957983E-9    A2= -1.110071316361E-10 A3= 0.                      
 Standard model:                                                               
   ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457388.500000000, A.D. 2016-Jan-01 00:00:00.0000, -3.087336734976364E+08, -1.113395881269591E+08,  1.941466951771551E+08,  1.697320352684418E+01, -1.061088076372041E+01,  4.961607474604244E+00,  1.271950902373750E+03,  3.813212874779446E+08, -8.117849146271686E+00,
2457389.500000000, A.D. 2016-Jan-02 00:00:00.0000, -3.072682569833495E+08, -1.122341120288073E+08,  1.945737262531940E+08,  1.694686971984883E+01, -1.009582735796379E+01,  4.923401065601927E+00,  1.269601266226634E+03,  3.806168842819949E+08, -8.187168091951472E+00,
2457390.500000000, A.D. 2016-Jan-03 00:00:00.0000, -3.058055326830795E+08, -1.130841734229013E+08,  1.949974640619451E+08,  1.691087388648078E+01, -9.581688374209733E+00,  4.885374565203646E+00,  1.267232190095188E+03,  3.799066531253597E+08, -8.252726848024706E+00,
2457391.500000000, A.D. 2016-Jan-04 00:00:00.0000, -3.043463378702773E+08, -1.138898597993169E+08,  1.954179241921425E+08,  1.686515960986119E+01, -9.068661449988541E+00,  4.847529138268555E+00,  1.264844782594882E+03,  3.791909263625951E+08, -8.314352171697788E+00,
2457392.500000000, A.D. 2016-Jan-05 00:00:00.0000, -3.028915145143659E+08, -1.146512760744454E+08,  1.958351223701231E+08,  1.680967413879830E+01, -8.556952733305391E+00,  4.809866845043998E+00,  1.262440202624661E+03,  3.784700514228650E+08, -8.371867824458457E+00,
2457393.500000000, A.D. 2016-Jan-06 00:00:00.0000, -3.014419090574455E+08, -1.153685454645508E+08,  1.962490745503740E+08,  1.674436657982303E+01, -8.046780461688927E+00,  4.772390976785252E+00,  1.260019660657553E+03,  3.777443911968537E+08, -8.425091759990568E+00,
2457394.500000000, A.D. 2016-Jan-07 00:00:00.0000, -2.999983722381096E+08, -1.160418107534254E+08,  1.966597970416082E+08,  1.666918880898951E+01, -7.538380332611095E+00,  4.735106525280814E+00,  1.257584420651714E+03,  3.770143246096834E+08, -8.473834834678300E+00,
2457395.500000000, A.D. 2016-Jan-08 00:00:00.0000, -2.985617586803756E+08, -1.166712360548521E+08,  1.970673066746624E+08,  1.658410013970485E+01, -7.032011301746508E+00,  4.698020654516638E+00,  1.255135801964312E+03,  3.762802471946824E+08, -8.517902281937944E+00,
2457396.500000000, A.D. 2016-Jan-09 00:00:00.0000, -2.971329258965790E+08, -1.172570090224263E+08,  1.974716210045866E+08,  1.648907622190803E+01, -6.527959739516890E+00,  4.661142984595605E+00,  1.252675180308566E+03,  3.755425713802981E+08, -8.557099016388673E+00,
2457397.500000000, A.D. 2016-Jan-10 00:00:00.0000, -2.957127323582078E+08, -1.177993432556493E+08,  1.978727585211045E+08,  1.638412146972465E+01, -6.026539382002507E+00,  4.624485464906352E+00,  1.250203986574587E+03,  3.748017261365944E+08, -8.591239115429161E+00,
2457398.500000000, A.D. 2016-Jan-11 00:00:00.0000, -2.943020344200987E+08, -1.182984804350314E+08,  1.982707388235132E+08,  1.626928263356070E+01, -5.528084821849482E+00,  4.588061657444086E+00,  1.247723702419468E+03,  3.740581556531928E+08, -8.620158443683289E+00,
2457399.500000000, A.D. 2016-Jan-12 00:00:00.0000, -2.929016821584876E+08, -1.187546915829336E+08,  1.986655827065454E+08,  1.614465965631186E+01, -5.032937866246176E+00,  4.551885407041706E+00,  1.245235852073176E+03,  3.733123168827417E+08, -8.643727716484822E+00,
2457400.500000000, A.D. 2016-Jan-13 00:00:00.0000, -2.915125145375102E+08, -1.191682768966859E+08,  1.990573121115800E+08,  1.601040977841144E+01, -4.541428677582890E+00,  4.515969108847752E+00,  1.242741990762837E+03,  3.725646760706042E+08, -8.661862269857782E+00,
